Date,Wind Spd, Wind Dir
2021/08/15 3:23,3.0,,
2021/08/15 3:24,2.0,,
2021/08/15 3:25,2.0,,
2021/08/15 3:26,1.0,,
2021/08/15 3:27,1.0,,
2021/08/15 3:28,1.0,,
2021/08/15 3:29,2.0,,
2021/08/15 3:30,2.0,,
2021/08/15 3:31,3.0,,
2021/08/15 3:32,3.0,,
2021/08/15 3:33,3.0,,
2021/08/15 3:34,2.0,,
2021/08/15 3:35,3.0,,
2021/08/15 3:36,3.0,,
2021/08/15 3:37,3.0,,
2021/08/15 3:38,3.0,,
2021/08/15 3:39,3.0,,
2021/08/15 3:40,4.0,,
2021/08/15 3:41,4.0,,
2021/08/15 3:42,4.0,,
2021/08/15 3:43,4.0,,
2021/08/15 3:44,4.0,,
2021/08/15 3:45,5.0,,
2021/08/15 3:46,5.0,,
2021/08/15 3:47,5.0,,
2021/08/15 3:48,5.0,,
2021/08/15 3:49,4.0,,
2021/08/15 3:50,4.0,,
2021/08/15 3:51,4.0,,
2021/08/15 3:52,4.0,,
2021/08/15 3:53,4.0,,
2021/08/15 3:54,4.0,,
2021/08/15 3:55,3.0,,
2021/08/15 3:56,3.0,,
2021/08/15 3:57,3.0,,
2021/08/15 3:58,3.0,,
2021/08/15 3:59,2.0,,
2021/08/15 4:00,1.0,,
2021/08/15 4:01,2.0,,
2021/08/15 4:02,3.0,,
2021/08/15 4:03,3.0,,
2021/08/15 4:04,3.0,,
2021/08/15 4:05,2.0,,
2021/08/15 4:06,3.0,,
2021/08/15 4:07,3.0,,
2021/08/15 4:08,4.0,,
2021/08/15 4:09,4.0,,
2021/08/15 4:10,4.0,,
2021/08/15 4:11,4.0,,
2021/08/15 4:12,4.0,,
2021/08/15 4:13,4.0,,
2021/08/15 4:14,4.0,,
2021/08/15 4:15,4.0,,
2021/08/15 4:16,4.0,,
2021/08/15 4:17,3.0,,
2021/08/15 4:18,3.0,,
2021/08/15 4:19,3.0,,
2021/08/15 4:20,3.0,,
2021/08/15 4:21,2.0,,
2021/08/15 4:22,1.0,,
2021/08/15 4:23,1.0,,
2021/08/15 4:24,1.0,,
2021/08/15 4:25,1.0,,
2021/08/15 4:26,1.0,,
2021/08/15 4:27,1.0,,
2021/08/15 4:28,1.0,,
2021/08/15 4:29,2.0,,
2021/08/15 4:30,2.0,,
2021/08/15 4:31,3.0,,
2021/08/15 4:32,3.0,,
2021/08/15 4:33,3.0,,
2021/08/15 4:34,3.0,,
2021/08/15 4:35,3.0,,
2021/08/15 4:36,3.0,,
2021/08/15 4:37,3.0,,
2021/08/15 4:38,3.0,,
2021/08/15 4:39,4.0,,
2021/08/15 4:40,4.0,,
2021/08/15 4:41,4.0,,
2021/08/15 4:42,4.0,,
2021/08/15 4:43,5.0,,
2021/08/15 4:44,5.0,,
2021/08/15 4:45,6.0,,
2021/08/15 4:46,6.0,,
2021/08/15 4:47,6.0,,
2021/08/15 4:48,7.0,,
2021/08/15 4:49,7.0,,
2021/08/15 4:50,6.0,,
2021/08/15 4:51,6.0,,
2021/08/15 4:52,6.0,,
2021/08/15 4:53,6.0,,
2021/08/15 4:54,6.0,,
2021/08/15 4:55,6.0,,
2021/08/15 4:56,6.0,,
2021/08/15 4:57,6.0,,
2021/08/15 4:58,5.0,,
2021/08/15 4:59,6.0,,
2021/08/15 5:00,6.0,,
2021/08/15 5:01,6.0,,
2021/08/15 5:02,7.0,,
2021/08/15 5:03,8.0,,
2021/08/15 5:04,8.0,,
2021/08/15 5:05,8.0,,
2021/08/15 5:06,8.0,,
2021/08/15 5:07,8.0,,
2021/08/15 5:08,8.0,,
2021/08/15 5:09,7.0,,
2021/08/15 5:10,6.0,,
2021/08/15 5:11,6.0,,
2021/08/15 5:12,6.0,,
2021/08/15 5:13,5.0,,
2021/08/15 5:14,5.0,,
2021/08/15 5:15,5.0,,
2021/08/15 5:16,5.0,,
2021/08/15 5:17,5.0,,
2021/08/15 5:18,4.0,,
2021/08/15 5:19,4.0,,
2021/08/15 5:20,4.0,,
2021/08/15 5:21,4.0,,
2021/08/15 5:22,4.0,,
2021/08/15 5:23,5.0,,
2021/08/15 5:24,5.0,,
2021/08/15 5:25,5.0,,
2021/08/15 5:26,5.0,,
2021/08/15 5:27,5.0,,
2021/08/15 5:28,4.0,,
2021/08/15 5:29,4.0,,
2021/08/15 5:30,4.0,,
2021/08/15 5:31,4.0,,
2021/08/15 5:32,3.0,,
2021/08/15 5:33,3.0,,
2021/08/15 5:34,2.0,,
2021/08/15 5:35,1.0,,
2021/08/15 5:36,2.0,,
2021/08/15 5:37,2.0,,
2021/08/15 5:38,3.0,,
2021/08/15 5:39,2.0,,
2021/08/15 5:40,3.0,,
2021/08/15 5:41,2.0,,
2021/08/15 5:42,3.0,,
2021/08/15 5:43,3.0,,
2021/08/15 5:44,3.0,,
2021/08/15 5:45,2.0,,
2021/08/15 5:46,1.0,,
2021/08/15 5:47,1.0,,
2021/08/15 5:48,1.0,,
2021/08/15 5:49,1.0,,
2021/08/15 5:50,1.0,,
2021/08/15 5:51,1.0,,
2021/08/15 5:52,1.0,,
2021/08/15 5:53,1.0,,
2021/08/15 5:54,1.0,,
2021/08/15 5:55,1.0,,
2021/08/15 5:56,1.0,,
2021/08/15 5:57,1.0,,
2021/08/15 5:58,1.0,,
2021/08/15 5:59,1.0,,
2021/08/15 6:00,1.0,,
2021/08/15 6:01,1.0,,
2021/08/15 6:02,1.0,,
2021/08/15 6:03,1.0,,
2021/08/15 6:04,1.0,,
2021/08/15 6:05,1.0,,
2021/08/15 6:06,1.0,,
2021/08/15 6:07,0.0,,
2021/08/15 6:08,0.0,,
2021/08/15 6:09,0.0,,
2021/08/15 6:10,0.0,,
2021/08/15 6:11,0.0,,
2021/08/15 6:12,0.0,,
2021/08/15 6:13,0.0,,
2021/08/15 6:14,0.0,,
2021/08/15 6:15,0.0,,
2021/08/15 6:16,0.0,,
2021/08/15 6:17,0.0,,
2021/08/15 6:18,0.0,,
2021/08/15 6:19,0.0,,
2021/08/15 6:20,0.0,,
2021/08/15 6:21,0.0,,
2021/08/15 6:22,0.0,,
2021/08/15 6:23,0.0,,
2021/08/15 6:24,1.0,,
2021/08/15 6:25,1.0,,
2021/08/15 6:26,1.0,,
2021/08/15 6:27,1.0,,
2021/08/15 6:28,1.0,,
2021/08/15 6:29,1.0,,
2021/08/15 6:30,1.0,,
2021/08/15 6:31,1.0,,
2021/08/15 6:32,1.0,,
2021/08/15 6:33,1.0,,
