Date,Wind Spd, Wind Dir
2021/07/18 6:36,1.0,9999
2021/07/18 6:37,0.0,0
2021/07/18 6:38,0.0,0
2021/07/18 6:39,0.0,0
2021/07/18 6:40,0.0,0
2021/07/18 6:41,0.0,0
2021/07/18 6:42,0.0,0
2021/07/18 6:43,0.0,0
2021/07/18 6:44,0.0,0
2021/07/18 6:45,0.0,0
2021/07/18 6:46,0.0,0
2021/07/18 6:47,0.0,0
2021/07/18 6:48,0.0,0
2021/07/18 6:49,0.0,0
2021/07/18 6:50,0.0,0
2021/07/18 6:51,0.0,0
2021/07/18 6:52,0.0,0
2021/07/18 6:53,0.0,0
2021/07/18 6:54,0.0,0
2021/07/18 6:55,0.0,0
2021/07/18 6:56,0.0,0
2021/07/18 6:57,0.0,0
2021/07/18 6:58,0.0,0
2021/07/18 6:59,0.0,0
2021/07/18 7:00,0.0,0
2021/07/18 7:01,0.0,0
2021/07/18 7:02,0.0,0
2021/07/18 7:03,0.0,0
2021/07/18 7:04,0.0,0
2021/07/18 7:05,0.0,0
2021/07/18 7:06,0.0,0
2021/07/18 7:07,0.0,0
2021/07/18 7:08,0.0,0
2021/07/18 7:09,0.0,0
2021/07/18 7:10,0.0,0
2021/07/18 7:11,0.0,0
2021/07/18 7:12,0.0,0
2021/07/18 7:13,0.0,0
2021/07/18 7:14,0.0,0
2021/07/18 7:15,0.0,0
2021/07/18 7:16,0.0,0
2021/07/18 7:17,1.0,9999
2021/07/18 7:18,1.0,9999
2021/07/18 7:19,4.0,143
2021/07/18 7:20,5.0,145
2021/07/18 7:21,7.0,148
2021/07/18 7:22,9.0,148
2021/07/18 7:23,10.0,150
2021/07/18 7:24,12.0,151
2021/07/18 7:25,15.0,151
2021/07/18 7:26,17.0,152
2021/07/18 7:27,18.0,154
2021/07/18 7:28,18.0,156
2021/07/18 7:29,18.0,157
2021/07/18 7:30,17.0,158
2021/07/18 7:31,18.0,159
2021/07/18 7:32,18.0,160
2021/07/18 7:33,18.0,159
2021/07/18 7:34,18.0,158
2021/07/18 7:35,17.0,159
2021/07/18 7:36,16.0,158
2021/07/18 7:37,15.0,157
2021/07/18 7:38,15.0,157
2021/07/18 7:39,15.0,158
2021/07/18 7:40,14.0,158
2021/07/18 7:41,12.0,159
2021/07/18 7:42,12.0,161
2021/07/18 7:43,11.0,162
2021/07/18 7:44,9.0,163
2021/07/18 7:45,8.0,164
2021/07/18 7:46,7.0,165
2021/07/18 7:47,6.0,164
2021/07/18 7:48,5.0,164
2021/07/18 7:49,4.0,163
2021/07/18 7:50,4.0,162
2021/07/18 7:51,3.0,161
2021/07/18 7:52,2.0,9999
2021/07/18 7:53,1.0,9999
2021/07/18 7:54,1.0,9999
2021/07/18 7:55,1.0,9999
2021/07/18 7:56,1.0,9999
2021/07/18 7:57,0.0,0
2021/07/18 7:58,0.0,0
2021/07/18 7:59,0.0,0
2021/07/18 8:00,0.0,0
2021/07/18 8:01,0.0,0
2021/07/18 8:02,0.0,0
2021/07/18 8:03,0.0,0
2021/07/18 8:04,0.0,0
2021/07/18 8:05,0.0,0
2021/07/18 8:06,0.0,0
2021/07/18 8:07,0.0,0
2021/07/18 8:08,0.0,0
2021/07/18 8:09,0.0,0
2021/07/18 8:10,0.0,0
2021/07/18 8:11,0.0,0
2021/07/18 8:12,0.0,0
2021/07/18 8:13,0.0,0
2021/07/18 8:14,0.0,0
2021/07/18 8:15,0.0,0
2021/07/18 8:16,0.0,0
2021/07/18 8:17,0.0,0
2021/07/18 8:18,1.0,164
2021/07/18 8:19,1.0,166
2021/07/18 8:20,1.0,166
2021/07/18 8:21,1.0,165
2021/07/18 8:22,1.0,164
2021/07/18 8:23,3.0,163
2021/07/18 8:24,3.0,162
2021/07/18 8:25,3.0,162
2021/07/18 8:26,3.0,161
2021/07/18 8:27,4.0,162
2021/07/18 8:28,4.0,163
2021/07/18 8:29,4.0,164
2021/07/18 8:30,4.0,165
2021/07/18 8:31,4.0,167
2021/07/18 8:32,3.0,170
2021/07/18 8:33,3.0,173
2021/07/18 8:34,2.0,175
2021/07/18 8:35,1.0,177
2021/07/18 8:36,1.0,9999
2021/07/18 8:37,1.0,9999
2021/07/18 8:38,1.0,9999
2021/07/18 8:39,1.0,9999
2021/07/18 8:40,0.0,0
2021/07/18 8:41,0.0,0
2021/07/18 8:42,0.0,0
2021/07/18 8:43,0.0,0
2021/07/18 8:44,0.0,0
2021/07/18 8:45,1.0,273
2021/07/18 8:46,1.0,272
2021/07/18 8:47,1.0,272
2021/07/18 8:48,1.0,271
2021/07/18 8:49,1.0,270
2021/07/18 8:50,1.0,270
2021/07/18 8:51,1.0,270
2021/07/18 8:52,1.0,9999
2021/07/18 8:53,1.0,9999
2021/07/18 8:54,1.0,9999
2021/07/18 8:55,1.0,9999
2021/07/18 8:56,0.0,0
2021/07/18 8:57,0.0,0
2021/07/18 8:58,0.0,0
2021/07/18 8:59,0.0,0
2021/07/18 9:00,0.0,0
2021/07/18 9:01,0.0,0
2021/07/18 9:02,0.0,0
2021/07/18 9:03,0.0,0
2021/07/18 9:04,0.0,0
2021/07/18 9:05,0.0,0
2021/07/18 9:06,0.0,0
2021/07/18 9:07,0.0,0
2021/07/18 9:08,0.0,0
2021/07/18 9:09,0.0,0
2021/07/18 9:10,0.0,0
2021/07/18 9:11,0.0,0
2021/07/18 9:12,0.0,0
2021/07/18 9:13,0.0,0
2021/07/18 9:14,0.0,0
2021/07/18 9:15,0.0,0
2021/07/18 9:16,0.0,0
2021/07/18 9:17,0.0,0
2021/07/18 9:18,0.0,0
2021/07/18 9:19,0.0,0
2021/07/18 9:20,0.0,0
2021/07/18 9:21,0.0,0
2021/07/18 9:22,0.0,0
2021/07/18 9:23,0.0,0
2021/07/18 9:24,0.0,0
2021/07/18 9:25,0.0,0
2021/07/18 9:26,0.0,0
2021/07/18 9:27,0.0,0
2021/07/18 9:28,0.0,0
2021/07/18 9:29,0.0,0
2021/07/18 9:30,0.0,0
2021/07/18 9:31,0.0,0
2021/07/18 9:32,0.0,0
2021/07/18 9:33,1.0,121
2021/07/18 9:34,1.0,120
2021/07/18 9:35,1.0,121
2021/07/18 9:36,1.0,121
2021/07/18 9:37,1.0,120
2021/07/18 9:38,1.0,119
2021/07/18 9:39,1.0,119
2021/07/18 9:40,1.0,119
2021/07/18 9:41,1.0,9999
2021/07/18 9:42,1.0,118
2021/07/18 9:43,1.0,135
2021/07/18 9:44,1.0,134
2021/07/18 9:45,0.0,0
2021/07/18 9:46,0.0,0
2021/07/18 9:47,1.0,129
2021/07/18 9:48,1.0,127
2021/07/18 9:49,1.0,125
2021/07/18 9:50,1.0,122
2021/07/18 9:51,1.0,119
2021/07/18 9:52,1.0,114
2021/07/18 9:53,1.0,112
2021/07/18 9:54,1.0,109
2021/07/18 9:55,1.0,9999
2021/07/18 9:56,1.0,9999
2021/07/18 9:57,1.0,9999
2021/07/18 9:58,1.0,104
2021/07/18 9:59,1.0,104
2021/07/18 10:00,2.0,104
2021/07/18 10:01,2.0,106
2021/07/18 10:02,3.0,107
2021/07/18 10:03,3.0,107
