Date,Visibility
2021/08/01 5:23,29460.0,
2021/08/01 5:24,29590.0,
2021/08/01 5:25,29290.0,
2021/08/01 5:26,29470.0,
2021/08/01 5:27,29310.0,
2021/08/01 5:28,28650.0,
2021/08/01 5:29,28190.0,
2021/08/01 5:30,,
2021/08/01 5:31,,
2021/08/01 5:32,,
2021/08/01 5:33,,
2021/08/01 5:34,,
2021/08/01 5:35,24820.0,
2021/08/01 5:36,24280.0,
2021/08/01 5:37,23750.0,
2021/08/01 5:38,23680.0,
2021/08/01 5:39,24000.0,
2021/08/01 5:40,24670.0,
2021/08/01 5:41,25260.0,
2021/08/01 5:42,26370.0,
2021/08/01 5:43,26640.0,
2021/08/01 5:44,27290.0,
2021/08/01 5:45,27070.0,
2021/08/01 5:46,27840.0,
2021/08/01 5:47,27570.0,
2021/08/01 5:48,27570.0,
2021/08/01 5:49,27530.0,
2021/08/01 5:50,27250.0,
2021/08/01 5:51,26740.0,
2021/08/01 5:52,25780.0,
2021/08/01 5:53,25210.0,
2021/08/01 5:54,24560.0,
2021/08/01 5:55,23980.0,
2021/08/01 5:56,23570.0,
2021/08/01 5:57,23790.0,
2021/08/01 5:58,23640.0,
2021/08/01 5:59,23060.0,
2021/08/01 6:00,22370.0,
2021/08/01 6:01,22050.0,
2021/08/01 6:02,21540.0,
2021/08/01 6:03,21160.0,
2021/08/01 6:04,20890.0,
2021/08/01 6:05,20710.0,
2021/08/01 6:06,20230.0,
2021/08/01 6:07,20070.0,
2021/08/01 6:08,19860.0,
2021/08/01 6:09,19680.0,
2021/08/01 6:10,20120.0,
2021/08/01 6:11,20260.0,
2021/08/01 6:12,20560.0,
2021/08/01 6:13,20680.0,
2021/08/01 6:14,20990.0,
2021/08/01 6:15,21310.0,
2021/08/01 6:16,21290.0,
2021/08/01 6:17,21440.0,
2021/08/01 6:18,21410.0,
2021/08/01 6:19,21780.0,
2021/08/01 6:20,21210.0,
2021/08/01 6:21,21200.0,
2021/08/01 6:22,21490.0,
2021/08/01 6:23,21410.0,
2021/08/01 6:24,21530.0,
2021/08/01 6:25,21190.0,
2021/08/01 6:26,21590.0,
2021/08/01 6:27,21420.0,
2021/08/01 6:28,,
2021/08/01 6:29,,
2021/08/01 6:30,,
2021/08/01 6:31,,
2021/08/01 6:32,19830.0,
2021/08/01 6:33,20140.0,
2021/08/01 6:34,20070.0,
2021/08/01 6:35,20320.0,
2021/08/01 6:36,20120.0,
2021/08/01 6:37,19950.0,
2021/08/01 6:38,19670.0,
2021/08/01 6:39,,
2021/08/01 6:40,,
2021/08/01 6:41,,
2021/08/01 6:42,,
2021/08/01 6:43,20560.0,
2021/08/01 6:44,20300.0,
2021/08/01 6:45,20340.0,
2021/08/01 6:46,19790.0,
2021/08/01 6:47,19650.0,
2021/08/01 6:48,19840.0,
2021/08/01 6:49,,
2021/08/01 6:50,,
2021/08/01 6:51,,
2021/08/01 6:52,19930.0,
2021/08/01 6:53,20580.0,
2021/08/01 6:54,20770.0,
2021/08/01 6:55,20690.0,
2021/08/01 6:56,21350.0,
2021/08/01 6:57,21620.0,
2021/08/01 6:58,21890.0,
2021/08/01 6:59,22140.0,
2021/08/01 7:00,22630.0,
2021/08/01 7:01,22490.0,
2021/08/01 7:02,22550.0,
2021/08/01 7:03,22730.0,
2021/08/01 7:04,22650.0,
2021/08/01 7:05,22980.0,
2021/08/01 7:06,23230.0,
2021/08/01 7:07,22630.0,
2021/08/01 7:08,20990.0,
2021/08/01 7:09,19180.0,
2021/08/01 7:10,18670.0,
2021/08/01 7:11,18630.0,
2021/08/01 7:12,18140.0,
2021/08/01 7:13,17450.0,
2021/08/01 7:14,16850.0,
2021/08/01 7:15,16330.0,
2021/08/01 7:16,16120.0,
2021/08/01 7:17,16290.0,
2021/08/01 7:18,16700.0,
2021/08/01 7:19,17690.0,
2021/08/01 7:20,17960.0,
2021/08/01 7:21,18380.0,
2021/08/01 7:22,18680.0,
2021/08/01 7:23,19120.0,
2021/08/01 7:24,20250.0,
2021/08/01 7:25,20290.0,
2021/08/01 7:26,20680.0,
2021/08/01 7:27,21300.0,
2021/08/01 7:28,22220.0,
2021/08/01 7:29,21080.0,
