Date,Wind Spd, Wind Dir
2021/07/07 5:31,9.0,92
2021/07/07 5:32,9.0,88
2021/07/07 5:33,9.0,84
2021/07/07 5:34,9.0,81
2021/07/07 5:35,10.0,82
2021/07/07 5:36,10.0,82
2021/07/07 5:37,10.0,82
2021/07/07 5:38,11.0,81
2021/07/07 5:39,12.0,82
2021/07/07 5:40,12.0,81
2021/07/07 5:41,12.0,82
2021/07/07 5:42,12.0,83
2021/07/07 5:43,11.0,82
2021/07/07 5:44,10.0,82
2021/07/07 5:45,10.0,83
2021/07/07 5:46,9.0,83
2021/07/07 5:47,9.0,80
2021/07/07 5:48,9.0,78
2021/07/07 5:49,9.0,79
2021/07/07 5:50,9.0,77
2021/07/07 5:51,9.0,76
2021/07/07 5:52,10.0,74
2021/07/07 5:53,11.0,86
2021/07/07 5:54,12.0,87
2021/07/07 5:55,12.0,79
2021/07/07 5:56,12.0,80
2021/07/07 5:57,12.0,81
2021/07/07 5:58,12.0,80
2021/07/07 5:59,12.0,80
2021/07/07 6:00,12.0,79
2021/07/07 6:01,12.0,78
2021/07/07 6:02,11.0,77
2021/07/07 6:03,11.0,77
2021/07/07 6:04,11.0,77
2021/07/07 6:05,10.0,80
2021/07/07 6:06,10.0,76
2021/07/07 6:07,11.0,73
2021/07/07 6:08,10.0,72
2021/07/07 6:09,11.0,70
2021/07/07 6:10,11.0,73
2021/07/07 6:11,12.0,72
2021/07/07 6:12,12.0,75
2021/07/07 6:13,13.0,77
2021/07/07 6:14,13.0,78
2021/07/07 6:15,13.0,79
2021/07/07 6:16,14.0,83
2021/07/07 6:17,14.0,87
2021/07/07 6:18,14.0,92
2021/07/07 6:19,14.0,97
2021/07/07 6:20,13.0,100
2021/07/07 6:21,12.0,102
2021/07/07 6:22,12.0,102
2021/07/07 6:23,12.0,86
2021/07/07 6:24,12.0,92
2021/07/07 6:25,12.0,92
2021/07/07 6:26,12.0,93
2021/07/07 6:27,12.0,93
2021/07/07 6:28,12.0,95
2021/07/07 6:29,12.0,95
2021/07/07 6:30,12.0,95
2021/07/07 6:31,12.0,97
2021/07/07 6:32,11.0,99
2021/07/07 6:33,11.0,98
2021/07/07 6:34,11.0,97
2021/07/07 6:35,11.0,95
2021/07/07 6:36,11.0,93
2021/07/07 6:37,12.0,93
2021/07/07 6:38,11.0,91
2021/07/07 6:39,11.0,92
2021/07/07 6:40,12.0,93
2021/07/07 6:41,12.0,93
2021/07/07 6:42,12.0,93
2021/07/07 6:43,12.0,92
2021/07/07 6:44,12.0,91
2021/07/07 6:45,11.0,92
2021/07/07 6:46,10.0,93
2021/07/07 6:47,10.0,93
2021/07/07 6:48,10.0,114
2021/07/07 6:49,10.0,110
2021/07/07 6:50,9.0,108
2021/07/07 6:51,9.0,102
2021/07/07 6:52,9.0,100
2021/07/07 6:53,10.0,101
2021/07/07 6:54,10.0,101
2021/07/07 6:55,12.0,100
2021/07/07 6:56,12.0,95
2021/07/07 6:57,12.0,93
2021/07/07 6:58,12.0,94
2021/07/07 6:59,12.0,95
2021/07/07 7:00,14.0,95
2021/07/07 7:01,14.0,97
2021/07/07 7:02,14.0,97
2021/07/07 7:03,14.0,96
2021/07/07 7:04,14.0,96
2021/07/07 7:05,14.0,96
2021/07/07 7:06,14.0,95
2021/07/07 7:07,13.0,93
2021/07/07 7:08,13.0,94
2021/07/07 7:09,13.0,92
2021/07/07 7:10,13.0,91
2021/07/07 7:11,13.0,92
2021/07/07 7:12,12.0,92
2021/07/07 7:13,12.0,94
2021/07/07 7:14,12.0,93
2021/07/07 7:15,13.0,93
2021/07/07 7:16,13.0,96
2021/07/07 7:17,14.0,97
2021/07/07 7:18,14.0,97
2021/07/07 7:19,12.0,99
2021/07/07 7:20,12.0,98
2021/07/07 7:21,11.0,100
2021/07/07 7:22,10.0,99
2021/07/07 7:23,10.0,99
2021/07/07 7:24,10.0,99
2021/07/07 7:25,9.0,99
2021/07/07 7:26,9.0,97
2021/07/07 7:27,8.0,98
2021/07/07 7:28,9.0,97
2021/07/07 7:29,9.0,97
2021/07/07 7:30,9.0,96
2021/07/07 7:31,9.0,94
2021/07/07 7:32,10.0,95
2021/07/07 7:33,10.0,96
2021/07/07 7:34,9.0,95
2021/07/07 7:35,9.0,96
2021/07/07 7:36,9.0,94
2021/07/07 7:37,9.0,94
2021/07/07 7:38,9.0,95
2021/07/07 7:39,8.0,97
2021/07/07 7:40,8.0,97
2021/07/07 7:41,9.0,96
2021/07/07 7:42,9.0,97
2021/07/07 7:43,10.0,94
2021/07/07 7:44,12.0,96
2021/07/07 7:45,12.0,95
2021/07/07 7:46,14.0,98
2021/07/07 7:47,15.0,99
2021/07/07 7:48,16.0,103
2021/07/07 7:49,16.0,106
2021/07/07 7:50,17.0,108
2021/07/07 7:51,16.0,110
2021/07/07 7:52,16.0,93
2021/07/07 7:53,15.0,94
2021/07/07 7:54,14.0,92
2021/07/07 7:55,13.0,93
2021/07/07 7:56,12.0,97
2021/07/07 7:57,12.0,97
2021/07/07 7:58,11.0,98
